1089746230	20220317	202203	2022	2022.2110	ZMB	ZAMBIA	ZMB								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Uganda	UG	UG		2	33	UG	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746231	20220317	202203	2022	2022.2110	ZMB	ZAMBIA	ZMB								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Zambia	ZA	ZA		-15	30	ZA	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746232	20230215	202302	2023	2023.1233	AFG	AFGHANISTAN	AFG								SPY	INTELLIGENCE						SPY			0	130	130	13	3	-4.4	1	1	1	-4.65425531914894	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	20230317141500	https://www.newdelhitimes.com/us-general-islamic-state-afghan-affiliate-closer-to-attacking-western-targets/
1089746233	20230215	202302	2023	2023.1233	AFG	AFGHANISTAN	AFG								SPY	INTELLIGENCE						SPY			0	130	130	13	3	-4.4	1	1	1	-4.65425531914894	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	20230317141500	https://www.newdelhitimes.com/us-general-islamic-state-afghan-affiliate-closer-to-attacking-western-targets/
1089746234	20230215	202302	2023	2023.1233	EUR	EUROPE	EUR								LAB	TRADE UNION						LAB			0	174	174	17	4	-5.0	7	1	7	-9.38416422287387	1	Tunisia	TS	TS		34	9	TS	1	Tunisia	TS	TS		34	9	TS	1	Tunisia	TS	TS		34	9	TS	20230317141500	https://www.middleeasteye.net/news/tunisia-european-parliament-condemns-authoritarian-drift
1089746235	20230215	202302	2023	2023.1233	GBR	UNITED KINGDOM	GBR								RUS	RUSSIAN	RUS								1	166	166	16	4	-7.0	5	1	5	-1.7741935483871	1	United Kingdom	UK	UK		54	-4	UK	1	Russia	RS	RS		60	100	RS	1	United Kingdom	UK	UK		54	-4	UK	20230317141500	https://www.rigzone.com/news/wire/gasoline_is_about_to_get_more_expensive-17-mar-2023-172318-article/
1089746236	20230215	202302	2023	2023.1233	IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			RUS	RUSSIAN	RUS								1	166	166	16	4	-7.0	5	1	5	-1.7741935483871	1	United Kingdom	UK	UK		54	-4	UK	1	Russia	RS	RS		60	100	RS	1	United Kingdom	UK	UK		54	-4	UK	20230317141500	https://www.rigzone.com/news/wire/gasoline_is_about_to_get_more_expensive-17-mar-2023-172318-article/
1089746237	20230215	202302	2023	2023.1233	TUN	TUNISIA	TUN								EUR	EUROPE	EUR								0	174	174	17	4	-5.0	3	1	3	-9.38416422287387	1	Tunisia	TS	TS		34	9	TS	1	Tunisia	TS	TS		34	9	TS	1	Tunisia	TS	TS		34	9	TS	20230317141500	https://www.middleeasteye.net/news/tunisia-european-parliament-condemns-authoritarian-drift
1089746238	20230215	202302	2023	2023.1233	USAMED	REUTERS	USA					MED			VNM	VIETNAM	VNM								1	036	036	03	1	4.0	5	1	5	-0.17953321364452	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20230317141500	https://www.thestandard.com.hk/breaking-news/section/6/201583/SpaceX,-Netflix,-Boeing-to-join-&quot
1089746239	20230310	202303	2023	2023.1918	AFG	AFGHANISTAN	AFG								LEG	LAWMAKER						LEG			0	013	013	01	1	0.4	1	1	1	-4.65425531914894	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	20230317141500	https://www.newdelhitimes.com/us-general-islamic-state-afghan-affiliate-closer-to-attacking-western-targets/
1089746240	20230310	202303	2023	2023.1918	AFGMIL	AFGHANISTAN	AFG					MIL			LEG	LAWMAKER						LEG			0	013	013	01	1	0.4	1	1	1	-4.65425531914894	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	3500	32.2193	63.808	-3380846	20230317141500	https://www.newdelhitimes.com/us-general-islamic-state-afghan-affiliate-closer-to-attacking-western-targets/
1089746241	20230310	202303	2023	2023.1918	BUS	BUSINESS						BUS													1	040	040	04	1	1.0	3	1	3	2.18818380743983	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	0								4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20230317141500	https://www.thezimbabwemail.com/business/mambondiani-breaks-silence-on-bancabc-departure/
1089746242	20230310	202303	2023	2023.1918	CAN	CANADIAN	CAN								GOV	GOVERNMENT						GOV			0	172	172	17	4	-5.0	4	1	4	-5.84551148225469	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20230317141500	https://petapixel.com/2023/03/17/fbi-is-investigating-tiktok-for-spying-on-us-journalists/
1089746243	20230310	202303	2023	2023.1918	CANGOV	CANADIAN	CAN					GOV			GOV	GOVERNMENT						GOV			0	172	172	17	4	-5.0	6	1	6	-5.84551148225469	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20230317141500	https://petapixel.com/2023/03/17/fbi-is-investigating-tiktok-for-spying-on-us-journalists/
1089746244	20230310	202303	2023	2023.1918	CHN	CHINA	CHN																		0	036	036	03	1	4.0	8	1	8	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	0								4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
1089746245	20230310	202303	2023	2023.1918	CHN	CHINA	CHN																		0	036	036	03	1	4.0	2	1	2	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	0								4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
1089746246	20230310	202303	2023	2023.1918	CHN	CHINESE	CHN								CHNJUD	CHINA	CHN					JUD			1	043	043	04	1	2.8	2	1	2	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
1089746247	20230310	202303	2023	2023.1918	CHN	CHINA	CHN								JUD	PROSECUTOR						JUD			1	043	043	04	1	2.8	2	1	2	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
1089746248	20230310	202303	2023	2023.1918	CHN	CHINESE	CHN								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	030	030	03	1	4.0	6	1	6	2.72727272727273	1	China	CH	CH		35	105	CH	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	China	CH	CH		35	105	CH	20230317141500	https://economictimes.indiatimes.com/news/international/world-news/vladimir-putin-xi-jinping-to-sign-declaration-on-new-era-ties-kremlin/articleshow/98737185.cms
1089746249	20230310	202303	2023	2023.1918	CHN	CHINESE	CHN								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	030	030	03	1	4.0	2	1	2	2.72727272727273	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20230317141500	https://economictimes.indiatimes.com/news/international/world-news/vladimir-putin-xi-jinping-to-sign-declaration-on-new-era-ties-kremlin/articleshow/98737185.cms
1089746250	20230310	202303	2023	2023.1918	CHN	CHINESE	CHN								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	046	046	04	1	7.0	2	1	2	2.72727272727273	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20230317141500	https://economictimes.indiatimes.com/news/international/world-news/vladimir-putin-xi-jinping-to-sign-declaration-on-new-era-ties-kremlin/articleshow/98737185.cms
1089746251	20230310	202303	2023	2023.1918	CHNGOV	CHINESE	CHN					GOV			JUD	PROSECUTOR						JUD			1	043	043	04	1	2.8	6	1	6	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
1089746252	20230310	202303	2023	2023.1918	CHNJUD	CHINA	CHN					JUD			CHN	CHINESE	CHN								1	042	042	04	1	1.9	2	1	2	-4.81400437636762	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20230317141500	https://focustaiwan.tw/cross-strait/202303170021
